State_Name,Assembly_No,Constituency_No,Year,month,Poll_No,DelimID,Position,Candidate,Sex,Party,Votes,Candidate_Type,Valid_Votes,Electors,Constituency_Name,Constituency_Type,Sub_Region,N_Cand,Turnout_Percentage,Vote_Share_Percentage,Deposit_Lost,Margin,Margin_Percentage,ENOP,pid,Party_type_TCPD,Party_ID,Max_Poll_No,last_poll,Contested,Last_Party,Last_Party_ID,Last_Constituency_Name,Same_Constituency,Same_Party,No_Terms,Turncoat,Incumbent,Recontest,Country,Women %,,,Name of Party,Result_2019,Result_2014,Share_2019,Share_2014,MH_2009_Party,MH_2009_Seats,MH_2009_Votes%,MH_2014_Party,MH_2014_Seats,MH_2014_Votes%,MH_Year,Congress Seats
Andaman_&_Nicobar_Islands,17,1,2019,4,0,4,1,KULDEEP RAI SHARMA,M,INC,95308,GEN,207296,317878,ANDAMAN & NICOBAR ISLANDS,GEN,,15,65.21,45.98,no,1407,0.68,2.38,GEAN64836,National Party,3482,0,TRUE,4,INC,3482,,,TRUE,1,FALSE,FALSE,TRUE,Bangladesh,20,,,AAP,1,4,0.216450216,0.909090909,INC,82,21,INC,42,18.1,1984,83
Andaman_&_Nicobar_Islands,17,1,2019,4,0,4,2,VISHAL JOLLY,M,BJP,93901,,207296,317878,ANDAMAN & NICOBAR ISLANDS,GEN,,15,65.21,45.3,no,88560,42.72,2.38,5,National Party,1605,0,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,China,25,,,AJSU,1,0,0.216450216,0,NCP,62,16.4,NCP,41,17.4,1989,15
Andaman_&_Nicobar_Islands,17,1,2019,4,0,4,3,PARITOSH KUMAR HALDAR,M,IND,5341,,207296,317878,ANDAMAN & NICOBAR ISLANDS,GEN,,15,65.21,2.58,yes,2502,1.21,2.38,10,Independents,10809,0,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,India,12,,,All India Ann-Dravida Kazhagam,1,37,0.216450216,8.409090909,BJP,46,14,BJP,122,28.1,1991,5
Andaman_&_Nicobar_Islands,17,1,2019,4,0,4,4,SANJAY MESHACK,M,AAP,2839,GEN,207296,317878,ANDAMAN & NICOBAR ISLANDS,GEN,,15,65.21,1.37,yes,353,0.17,2.38,GEAN14920,State-based Party,13,0,TRUE,2,AAAP,13,,,TRUE,0,FALSE,FALSE,TRUE,France,40,,,All India Maijlis-E-Ittehadul Muslimeeh,2,1,0.432900433,0.227272727,SHS,44,16.3,SHS,63,19.5,1996,5
Andaman_&_Nicobar_Islands,17,1,2019,4,0,4,5,PRAKASH MINJ,M,BSP,2486,,207296,317878,ANDAMAN & NICOBAR ISLANDS,GEN,,15,65.21,1.2,yes,765,0.37,2.38,4,State-based Party,16651,0,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,Italy,35,,,All India Trinamool Congress,22,34,4.761904762,7.727272727,IND,24,15.5,IND,7,4.8,1998,0
Andaman_&_Nicobar_Islands,17,1,2019,4,0,4,6,AYAN MANDAL,M,AITC,1721,,207296,317878,ANDAMAN & NICOBAR ISLANDS,GEN,,15,65.21,0.83,yes,309,0.15,2.38,1,State-based Party,18228,0,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,Pakistan,20,,,All India United-Democratic Front,1,3,0.216450216,0.681818182,Others,30,16.8,Others,13,12.1,1999,10
Andaman_&_Nicobar_Islands,17,1,2019,4,0,4,7,None Of The Above,,NOTA,1412,,207296,317878,ANDAMAN & NICOBAR ISLANDS,GEN,,15,65.21,0.68,yes,418,0.2,2.38,,,,0,TRUE,544,NOTA,5897,,,,0,,FALSE,TRUE,South Africa,42,,,Bahujan Samaj Party,10,0,2.164502165,0,,,,,,,2004,9
Andaman_&_Nicobar_Islands,17,1,2019,4,0,4,8,HENRY,M,IND,994,,207296,317878,ANDAMAN & NICOBAR ISLANDS,GEN,,15,65.21,0.48,yes,80,0.04,2.38,15,Independents,10809,0,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,U.K,31,,,BJP,303,282,65.58441558,64.09090909,,,,,,,2009,21
Andaman_&_Nicobar_Islands,17,1,2019,4,0,4,9,K VENKAT RAM BABU,M,IND,914,,207296,317878,ANDAMAN & NICOBAR ISLANDS,GEN,,15,65.21,0.44,yes,296,0.14,2.38,13,Independents,10809,0,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,U.S,20,,,Biju Janata Dal,12,20,2.597402597,4.545454545,,,,,,,2014,2
Andaman_&_Nicobar_Islands,17,1,2019,4,0,4,10,MINATI BISWAS,F,IND,618,,207296,317878,ANDAMAN & NICOBAR ISLANDS,GEN,,15,65.21,0.3,yes,143,0.07,2.38,11,Independents,10809,0,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,Communist Party of India,2,1,0.432900433,0.227272727,,,,,,,2019,1
Andaman_&_Nicobar_Islands,17,1,2019,4,0,4,11,S SUDERSHAN RAO,M,IND,475,,207296,317878,ANDAMAN & NICOBAR ISLANDS,GEN,,15,65.21,0.23,yes,169,0.08,2.38,14,Independents,10809,0,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,Dravida Munnetra Kazagham,23,0,4.978354978,0,,,,,,,,
Andaman_&_Nicobar_Islands,17,1,2019,4,0,4,12,V V KHALID,M,IND,306,GEN,207296,317878,ANDAMAN & NICOBAR ISLANDS,GEN,,15,65.21,0.15,yes,31,0.01,2.38,GEAN14915,Independents,10809,0,TRUE,2,IND,10809,,,TRUE,0,FALSE,FALSE,TRUE,,,,,INC,52,44,11.25541126,10,,,,,,,,
Andaman_&_Nicobar_Islands,17,1,2019,4,0,4,13,K KALIMUTHU,M,IND,275,,207296,317878,ANDAMAN & NICOBAR ISLANDS,GEN,,15,65.21,0.13,yes,2,0,2.38,7,Independents,10809,0,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,Indian Union Muslim League,3,2,0.649350649,0.454545455,,,,,,,,
Andaman_&_Nicobar_Islands,17,1,2019,4,0,4,14,C U RASHEED,M,IND,273,,207296,317878,ANDAMAN & NICOBAR ISLANDS,GEN,,15,65.21,0.13,yes,52,0.03,2.38,12,Independents,10809,0,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,JNC,3,0,0.649350649,0,,,,,,,,
Andaman_&_Nicobar_Islands,17,1,2019,4,0,4,15,GOUR CHANDRA MAJUMDER,M,IND,221,GEN,207296,317878,ANDAMAN & NICOBAR ISLANDS,GEN,,15,65.21,0.11,yes,9,0,2.38,GEAN73949,Independents,10809,0,TRUE,3,BSP,16651,,,FALSE,0,FALSE,FALSE,TRUE,,,,,Janata Dal,16,2,3.463203463,0.454545455,,,,,,,,
Andaman_&_Nicobar_Islands,17,1,2019,4,0,4,16,C G SAJI KUMAR,M,All India Hindustan Congress Party,212,GEN,207296,317878,ANDAMAN & NICOBAR ISLANDS,GEN,,15,65.21,0.1,yes,0,0,2.38,GEAN14908,Local Party,662,0,TRUE,2,IND,10809,,,FALSE,0,FALSE,FALSE,TRUE,,,,,Jharkhand Mukti Morcha,1,2,0.216450216,0.454545455,,,,,,,,
